time,nav,sell1,sell1_cnt,sell2,sell2_cnt,buy1,buy1_cnt,buy2,buy2_cnt
2020-06-03 09:16:52.820000,0.0,11720,40190,11725,57987,11715,10030,11710,20478
2020-06-03 09:16:53.570000,0.0,11720,40690,11725,51027,11715,10030,11710,20478
2020-06-03 09:16:54.740000,0.0,11720,42657,11725,57987,11715,10030,11710,20478
2020-06-03 09:16:55.670000,0.0,11720,41458,11725,51027,11715,20030,11710,10478
2020-06-03 09:16:56.670000,0.0,11720,41458,11725,51027,11715,20030,11710,10478
2020-06-03 09:16:57.680000,0.0,11720,41460,11725,51027,11715,20030,11710,10478
2020-06-03 09:16:58.700000,0.0,11720,34001,11725,57987,11715,8830,11710,20478
2020-06-03 09:16:59.700000,0.0,11720,35001,11725,57987,11715,6134,11710,18978
2020-06-03 09:17:00.790000,0.0,11715,1700,11720,41123,11710,8778,11705,22096
2020-06-03 09:17:01.900000,11776.06,11710,1000,11715,8234,11705,8107,11700,19779
2020-06-03 09:17:03.040000,11776.06,11710,7645,11715,8234,11705,7907,11700,19779
2020-06-03 09:17:04.120000,11776.06,11710,7645,11715,15264,11700,5413,11695,22285
2020-06-03 09:17:05.260000,11776.06,11705,6891,11710,7645,11700,1333,11695,19650
2020-06-03 09:17:06.470000,11776.06,11705,6891,11710,7645,11700,3265,11695,19650
2020-06-03 09:17:07.600000,11776.06,11710,7645,11715,15264,11700,10225,11695,19650
2020-06-03 09:17:08.670000,11776.06,11710,7645,11715,10234,11705,1000,11700,21725
2020-06-03 09:17:09.760000,11776.06,11710,5946,11715,10234,11705,1420,11700,21725
2020-06-03 09:17:10.800000,11770.79,11710,7646,11715,15264,11705,1020,11700,10225
2020-06-03 09:17:11.900000,11770.79,11710,9646,11715,12264,11705,20,11700,20225
2020-06-03 09:17:12.860000,11770.79,11710,9646,11715,15264,11705,1000,11700,10225
2020-06-03 09:17:13.860000,11770.79,11705,1600,11710,10646,11700,3265,11695,19650
2020-06-03 09:17:14.820000,11770.79,11705,7401,11710,12676,11700,3265,11695,19650
2020-06-03 09:17:15.880000,11770.79,11705,7401,11710,12676,11700,1565,11695,18150
2020-06-03 09:17:16.940000,11770.79,11705,6301,11710,12676,11700,3165,11695,19650
2020-06-03 09:17:17.970000,11770.79,11705,5701,11710,10646,11700,10522,11695,19650
2020-06-03 09:17:19.000000,11770.79,11705,5701,11710,10646,11700,8922,11695,19650
2020-06-03 09:17:20.070000,11770.79,11705,5708,11710,10646,11700,8922,11695,19873
2020-06-03 09:17:21.030000,11770.79,11705,5908,11710,10646,11700,8922,11695,19873
2020-06-03 09:17:22.100000,11769.73,11705,7408,11710,10646,11700,1962,11695,19873
2020-06-03 09:17:23.170000,11769.73,11705,7408,11710,12676,11700,1982,11695,19873
2020-06-03 09:17:23.860000,11769.73,11705,7408,11710,10646,11700,1982,11695,19873
2020-06-03 09:17:24.780000,11769.73,11705,7408,11710,10646,11700,1982,11695,19873
2020-06-03 09:17:25.860000,11769.73,11705,70,11710,10646,11700,20642,11695,9873
2020-06-03 09:17:26.970000,11769.73,11710,10646,11715,15536,11700,1982,11695,19873
2020-06-03 09:17:28.000000,11769.73,11705,1000,11710,10646,11700,1982,11695,19873
2020-06-03 09:17:29.000000,11769.73,11705,7341,11710,10646,11700,10642,11695,19873
2020-06-03 09:17:29.950000,11769.73,11705,7914,11710,12676,11695,18273,11690,11873
2020-06-03 09:17:31.090000,11769.73,11705,7914,11710,15676,11695,8273,11690,21873
2020-06-03 09:17:32.260000,11763.78,11705,6911,11710,10646,11700,7279,11695,21473
2020-06-03 09:17:33.290000,11763.78,11705,33622,11710,12676,11700,319,11695,21473
2020-06-03 09:17:34.250000,11763.78,11700,638,11705,34622,11695,9973,11690,21873
2020-06-03 09:17:35.280000,11763.78,11705,34622,11710,12676,11695,19973,11690,11873
2020-06-03 09:17:36.270000,11763.78,11705,34622,11710,10646,11700,6960,11695,19923
2020-06-03 09:17:37.280000,11763.78,11705,34622,11710,10646,11695,19923,11690,10373
2020-06-03 09:17:38.330000,11763.78,11705,34622,11710,10646,11700,6960,11695,19923
